,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki,Average
Claude(simp),"0.551 [0.413, 0.688]","0.589 [0.513, 0.665]","0.568 [0.544, 0.592]","0.371 [0.234, 0.509]","0.440 [0.364, 0.516]","0.437 [0.413, 0.461]","0.255 [0.201, 0.308]","0.376 [0.344, 0.409]","0.174 [0.094, 0.254]","0.294 [0.241, 0.348]",0.405
Ours_RF,"0.595 [0.458, 0.732]","0.463 [0.387, 0.539]","0.439 [0.415, 0.463]","0.256 [0.118, 0.393]","0.199 [0.123, 0.275]","0.224 [0.201, 0.248]","0.148 [0.095, 0.202]","0.528 [0.495, 0.560]","0.101 [0.021, 0.181]","0.428 [0.374, 0.481]",0.338
Claude(simp+src),,,,,,,"0.573 [0.520, 0.627]","0.136 [0.104, 0.169]","0.107 [0.027, 0.187]","0.518 [0.464, 0.571]",0.334
Claude(simp+src+ref),,,,,,,"0.578 [0.524, 0.631]","0.140 [0.108, 0.173]","0.091 [0.012, 0.171]","0.477 [0.424, 0.530]",0.322
BATS-RF,"0.550 [0.412, 0.687]","0.466 [0.390, 0.542]","0.306 [0.282, 0.330]","0.239 [0.101, 0.376]","0.197 [0.121, 0.273]","0.152 [0.128, 0.176]","0.125 [0.072, 0.179]","0.529 [0.496, 0.561]","0.108 [0.028, 0.188]","0.460 [0.407, 0.514]",0.313
BATS-GB,"0.573 [0.436, 0.710]","0.470 [0.394, 0.546]","0.292 [0.269, 0.316]","0.267 [0.129, 0.404]","0.193 [0.117, 0.269]","0.149 [0.125, 0.173]","0.121 [0.068, 0.175]","0.520 [0.488, 0.553]","0.131 [0.051, 0.211]","0.410 [0.357, 0.464]",0.313
LENS-SALSA,,,,,,,"0.493 [0.440, 0.547]","0.218 [0.186, 0.251]","0.022 [0.057, 0.102]","0.326 [0.272, 0.379]",0.265
SLE,"0.508 [0.370, 0.645]","0.463 [0.387, 0.539]","0.437 [0.413, 0.461]","0.253 [0.116, 0.391]","0.264 [0.189, 0.340]","0.252 [0.228, 0.276]","0.018 [0.036, 0.071]","0.264 [0.232, 0.297]","0.006 [0.074, 0.086]","0.053 [0.001, 0.106]",0.252
Claude(simp+ref),,,,,,,"0.484 [0.430, 0.537]","0.015 [0.017, 0.048]","0.036 [0.044, 0.116]","0.402 [0.349, 0.456]",0.234
SARI,,,,,,,"0.202 [0.149, 0.256]","0.149 [0.093, 0.204]","0.284 [0.148, 0.420]","0.257 [0.204, 0.311]",0.223
bertscore_f1,,,,,,,"0.322 [0.268, 0.375]","0.185 [0.153, 0.218]","0.117 [0.037, 0.197]","0.257 [0.203, 0.310]",0.22
BERTScore_P,,,,,,,"0.428 [0.374, 0.481]","0.143 [0.111, 0.176]","0.058 [0.022, 0.138]","0.247 [0.193, 0.300]",0.219
FKGL,"0.417 [0.280, 0.554]","0.343 [0.267, 0.419]","0.334 [0.310, 0.358]","0.200 [0.063, 0.337]","0.199 [0.123, 0.275]","0.202 [0.179, 0.226]","0.045 [0.009, 0.098]","0.217 [0.185, 0.250]","0.062 [0.018, 0.142]","0.031 [0.022, 0.085]",0.205
rouge2,,,,,,,"0.205 [0.152, 0.259]","0.286 [0.254, 0.319]","0.131 [0.051, 0.211]","0.192 [0.139, 0.246]",0.204
bertscore_r,,,,,,,"0.241 [0.187, 0.294]","0.187 [0.154, 0.219]","0.129 [0.049, 0.209]","0.214 [0.160, 0.267]",0.193
Word_Count,"0.507 [0.370, 0.645]","0.376 [0.300, 0.452]","0.400 [0.377, 0.424]","0.079 [0.059, 0.216]","0.047 [0.029, 0.122]","0.077 [0.053, 0.101]","0.003 [0.051, 0.056]","0.299 [0.267, 0.332]","0.009 [0.071, 0.089]","0.104 [0.051, 0.158]",0.19
D-SARI,,,,,,,"0.202 [0.149, 0.256]","0.167 [0.134, 0.199]","0.105 [0.025, 0.185]","0.257 [0.204, 0.311]",0.183
ROUGE-L,,,,,,,"0.165 [0.112, 0.219]","0.248 [0.215, 0.280]","0.106 [0.026, 0.186]","0.198 [0.144, 0.251]",0.179
dsari_keep,,,,,,,"0.161 [0.107, 0.214]","0.110 [0.078, 0.143]","0.093 [0.013, 0.173]","0.351 [0.298, 0.405]",0.179
BLEU,,,,,,,"0.158 [0.104, 0.211]","0.267 [0.234, 0.299]","0.140 [0.060, 0.220]","0.151 [0.097, 0.204]",0.179
rouge1,,,,,,,"0.135 [0.082, 0.189]","0.249 [0.217, 0.282]","0.099 [0.019, 0.179]","0.188 [0.134, 0.241]",0.168
dsari_delete,,,,,,,"0.102 [0.048, 0.155]","0.259 [0.226, 0.291]","0.165 [0.085, 0.245]","0.073 [0.020, 0.127]",0.15
dsari_add,,,,,,,"0.191 [0.137, 0.244]","0.060 [0.027, 0.092]","0.088 [0.009, 0.168]","0.209 [0.156, 0.262]",0.137
Avg_Word_Len,"0.172 [0.035, 0.309]","0.019 [0.057, 0.095]","0.112 [0.088, 0.136]","0.204 [0.067, 0.341]","0.107 [0.031, 0.183]","0.160 [0.136, 0.184]","0.051 [0.002, 0.105]","0.015 [0.018, 0.047]","0.142 [0.062, 0.222]","0.011 [0.043, 0.064]",0.099
Shuffle,"0.033 [0.104, 0.170]","0.081 [0.005, 0.157]","0.004 [0.020, 0.028]","0.023 [0.115, 0.160]","0.048 [0.028, 0.124]","0.010 [0.014, 0.034]","0.027 [0.026, 0.081]","0.021 [0.012, 0.053]","0.059 [0.021, 0.139]","0.027 [0.027, 0.080]",0.033
Random,"0.135 [0.002, 0.272]","0.001 [0.075, 0.077]","0.018 [0.006, 0.042]","0.039 [0.098, 0.176]","0.031 [0.045, 0.107]","0.017 [0.007, 0.041]","0.024 [0.029, 0.078]","0.016 [0.017, 0.048]","0.003 [0.077, 0.083]","0.008 [0.045, 0.061]",0.029
