,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki,Average
Claude(simp),0.682,0.727,0.688,0.468,0.578,0.559,0.363,0.465,0.297,0.495,0.532
Ours_RF,0.792,0.663,0.621,0.335,0.279,0.305,0.225,0.673,0.177,0.579,0.465
BATS-GB,0.774,0.662,0.424,0.323,0.27,0.204,0.196,0.667,0.185,0.555,0.426
BATS-RF,0.737,0.655,0.442,0.268,0.273,0.202,0.188,0.676,0.181,0.608,0.423
Claude(simp+src),,,,,,,0.676,0.179,0.216,0.574,0.411
Claude(simp+src+ref),,,,,,,0.725,0.181,0.188,0.522,0.404
SLE,0.702,0.642,0.613,0.33,0.377,0.351,0.029,0.34,0.02,0.087,0.349
LENS-SALSA,,,,,,,0.573,0.238,0.066,0.448,0.331
Claude(simp+ref),,,,,,,0.639,0.026,0.154,0.497,0.329
SARI,,,,,,,0.328,0.218,0.317,0.368,0.308
bertscore_f1,,,,,,,0.476,0.235,0.174,0.335,0.305
BERTScore_P,,,,,,,0.567,0.164,0.063,0.389,0.296
FKGL,0.588,0.499,0.492,0.251,0.255,0.268,0.07,0.32,0.009,0.087,0.284
D-SARI,,,,,,,0.328,0.226,0.173,0.368,0.274
rouge2,,,,,,,0.334,0.385,0.201,0.175,0.274
bertscore_r,,,,,,,0.365,0.243,0.222,0.237,0.267
dsari_keep,,,,,,,0.305,0.121,0.121,0.486,0.258
Word_Count,0.661,0.524,0.53,0.0,0.0,0.0,0.03,0.339,0.021,0.344,0.245
ROUGE-L,,,,,,,0.28,0.332,0.145,0.207,0.241
rouge1,,,,,,,0.242,0.335,0.117,0.21,0.226
BLEU,,,,,,,0.255,0.348,0.228,0.058,0.222
dsari_add,,,,,,,0.269,0.126,0.164,0.307,0.217
dsari_delete,,,,,,,0.14,0.331,0.218,0.115,0.201
Avg_Word_Len,0.319,0.023,0.149,0.407,0.151,0.231,0.067,0.002,0.174,0.058,0.158
Random,0.212,0.006,0.027,0.057,0.043,0.029,0.04,0.024,0.016,0.013,0.047
Shuffle,0.045,0.124,0.006,0.041,0.081,0.012,0.037,0.024,0.071,0.021,0.046
