,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki
Claude(simp),0.777,0.777,0.707,0.613,0.649,0.583,0.292,0.426,0.184,0.432
Ours_RF,0.702,0.594,0.598,0.142,0.171,0.273,0.148,0.645,0.06,0.523
BATS-GB,0.678,0.593,0.394,0.129,0.162,0.169,0.118,0.64,0.067,0.497
BATS-RF,0.628,0.585,0.413,0.069,0.165,0.168,0.109,0.648,0.063,0.555
Claude(simp+src),,,,,,,0.63,0.131,0.099,0.518
Claude(simp+src+ref),,,,,,,0.685,0.133,0.071,0.462
SLE,0.792,0.704,0.635,0.499,0.47,0.382,0.109,0.296,0.1,0.007
LENS-SALSA,,,,,,,0.517,0.192,0.053,0.382
Claude(simp+ref),,,,,,,0.589,0.023,0.036,0.435
SARI,,,,,,,0.255,0.138,0.125,0.297
bertscore_f1,,,,,,,0.411,0.281,0.287,0.262
BERTScore_P,,,,,,,0.51,0.211,0.181,0.319
FKGL,0.438,0.409,0.464,0.051,0.146,0.235,0.01,0.363,0.11,0.166
D-SARI,,,,,,,0.255,0.18,0.055,0.297
rouge2,,,,,,,0.261,0.426,0.313,0.097
bertscore_r,,,,,,,0.294,0.288,0.332,0.16
dsari_keep,,,,,,,0.23,0.168,0.237,0.422
Word_Count,0.53,0.436,0.504,0.203,0.113,0.036,0.109,0.382,0.098,0.413
ROUGE-L,,,,,,,0.205,0.375,0.259,0.129
rouge1,,,,,,,0.165,0.377,0.233,0.132
BLEU,,,,,,,0.178,0.39,0.338,0.022
dsari_add,,,,,,,0.194,0.078,0.046,0.233
dsari_delete,,,,,,,0.061,0.286,0.102,0.035
Avg_Word_Len,0.124,0.09,0.114,0.222,0.038,0.197,0.013,0.047,0.056,0.022
Random,0.397,0.107,0.063,0.256,0.156,0.065,0.04,0.024,0.135,0.067
Shuffle,0.245,0.011,0.042,0.163,0.032,0.048,0.117,0.073,0.049,0.059
