,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki
GPT-4o-mini,0.589,0.695,0.698,0.417,0.603,0.636,0.561,0.485,0.374,0.456
Claude(simp),0.556,0.669,0.669,0.38,0.576,0.588,0.431,0.502,0.402,0.553
Gemma-4-E4B,0.493,0.606,0.626,0.234,0.469,0.478,0.373,0.461,0.257,0.446
Ours_RF,0.857,0.722,0.642,0.504,0.38,0.337,0.3,0.698,0.29,0.63
BATS-GB,0.844,0.721,0.453,0.494,0.372,0.238,0.272,0.694,0.297,0.608
BATS-RF,0.817,0.715,0.47,0.446,0.375,0.236,0.264,0.701,0.294,0.656
Llama-3.1-8B,0.314,0.455,0.49,0.204,0.367,0.413,0.547,0.4,0.328,0.393
Claude(simp+src),,,,,,,0.717,0.226,0.326,0.625
Ministral-8B,0.257,0.46,0.515,0.095,0.341,0.408,0.64,0.31,0.232,0.463
Claude(simp+src+ref),,,,,,,0.761,0.228,0.301,0.578
SLE,0.582,0.57,0.591,0.136,0.275,0.319,0.051,0.382,0.138,0.166
LENS-SALSA,,,,,,,0.624,0.284,0.184,0.51
Claude(simp+ref),,,,,,,0.684,0.075,0.269,0.555
GPT-4o-mini (pairwise),,,,,,,0.422,0.422,0.403,0.309
SARI,,,,,,,0.398,0.295,0.487,0.435
bertscore_f1,,,,,,,0.535,0.189,0.056,0.404
Gemma-4-E4B (pairwise),,,,,,,0.445,0.363,0.33,0.35
BERTScore_P,,,,,,,0.619,0.116,0.057,0.455
FKGL,0.707,0.58,0.518,0.431,0.357,0.301,0.149,0.275,0.128,0.007
D-SARI,,,,,,,0.398,0.272,0.286,0.435
rouge2,,,,,,,0.404,0.343,0.084,0.252
bertscore_r,,,,,,,0.432,0.197,0.105,0.311
dsari_keep,,,,,,,0.376,0.072,0.002,0.545
Word_Count,0.762,0.601,0.556,0.203,0.113,0.036,0.051,0.295,0.14,0.272
ROUGE-L,,,,,,,0.353,0.288,0.026,0.282
rouge1,,,,,,,0.316,0.291,0.002,0.285
BLEU,,,,,,,0.328,0.304,0.112,0.137
dsari_add,,,,,,,0.342,0.174,0.278,0.378
dsari_delete,,,,,,,0.218,0.373,0.329,0.193
Llama-3.1-8B (pairwise),,,,,,,0.417,0.103,0.289,0.269
Avg_Word_Len,0.49,0.136,0.184,0.563,0.26,0.265,0.146,0.05,0.287,0.137
Random,0.009,0.119,0.009,0.148,0.07,0.007,0.12,0.073,0.103,0.093
Shuffle,0.159,0.234,0.03,0.241,0.193,0.024,0.043,0.024,0.189,0.101
Ministral-8B (pairwise),,,,,,,,0.028,0.101,0.075
