,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki,Average
GPT-4o-mini,"0.707 [0.589, 0.796]","0.750 [0.695, 0.795]","0.716 [0.698, 0.733]","0.571 [0.417, 0.693]","0.670 [0.603, 0.728]","0.657 [0.636, 0.677]","0.504 [0.441, 0.561]","0.447 [0.408, 0.485]","0.267 [0.152, 0.374]","0.391 [0.321, 0.456]",0.568
Claude(simp),"0.682 [0.556, 0.777]","0.727 [0.669, 0.777]","0.688 [0.669, 0.707]","0.541 [0.380, 0.670]","0.647 [0.576, 0.708]","0.611 [0.588, 0.633]","0.363 [0.292, 0.431]","0.465 [0.426, 0.502]","0.297 [0.184, 0.402]","0.495 [0.432, 0.553]",0.552
Gemma-4-E4B,"0.632 [0.493, 0.740]","0.673 [0.606, 0.731]","0.647 [0.626, 0.667]","0.417 [0.234, 0.571]","0.553 [0.469, 0.627]","0.505 [0.478, 0.531]","0.302 [0.227, 0.373]","0.422 [0.381, 0.461]","0.142 [0.023, 0.257]","0.379 [0.309, 0.446]",0.467
Ours_RF,"0.792 [0.702, 0.857]","0.663 [0.594, 0.722]","0.621 [0.598, 0.642]","0.335 [0.142, 0.504]","0.279 [0.171, 0.380]","0.305 [0.273, 0.337]","0.225 [0.148, 0.300]","0.673 [0.645, 0.698]","0.177 [0.060, 0.290]","0.579 [0.523, 0.630]",0.465
BATS-GB,"0.774 [0.678, 0.844]","0.662 [0.593, 0.721]","0.424 [0.394, 0.453]","0.323 [0.129, 0.494]","0.270 [0.162, 0.372]","0.204 [0.169, 0.238]","0.196 [0.118, 0.272]","0.667 [0.640, 0.694]","0.185 [0.067, 0.297]","0.555 [0.497, 0.608]",0.426
BATS-RF,"0.737 [0.628, 0.817]","0.655 [0.585, 0.715]","0.442 [0.413, 0.470]","0.268 [0.069, 0.446]","0.273 [0.165, 0.375]","0.202 [0.168, 0.236]","0.188 [0.109, 0.264]","0.676 [0.648, 0.701]","0.181 [0.063, 0.294]","0.608 [0.555, 0.656]",0.423
Llama-3.1-8B,"0.486 [0.314, 0.627]","0.541 [0.455, 0.616]","0.517 [0.490, 0.543]","0.390 [0.204, 0.550]","0.461 [0.367, 0.545]","0.442 [0.413, 0.470]","0.489 [0.425, 0.547]","0.359 [0.315, 0.400]","0.218 [0.101, 0.328]","0.323 [0.250, 0.393]",0.422
Claude(simp+src),,,,,,,"0.676 [0.630, 0.717]","0.179 [0.131, 0.226]","0.216 [0.099, 0.326]","0.574 [0.518, 0.625]",0.411
Ministral-8B,"0.438 [0.257, 0.589]","0.545 [0.460, 0.620]","0.541 [0.515, 0.566]","0.293 [0.095, 0.469]","0.438 [0.341, 0.525]","0.437 [0.408, 0.466]","0.589 [0.534, 0.640]","0.265 [0.219, 0.310]","0.116 [0.003, 0.232]","0.398 [0.328, 0.463]",0.406
Claude(simp+src+ref),,,,,,,"0.725 [0.685, 0.761]","0.181 [0.133, 0.228]","0.188 [0.071, 0.301]","0.522 [0.462, 0.578]",0.404
