,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki,Average
Claude(simp),0.702,0.739,0.721,0.499,0.583,0.576,0.341,0.478,0.221,0.369,0.523
Ours_RF,0.799,0.655,0.62,0.365,0.308,0.342,0.217,0.684,0.118,0.582,0.469
BATS-GB,0.788,0.656,0.42,0.38,0.295,0.224,0.178,0.676,0.176,0.555,0.435
BATS-RF,0.755,0.652,0.439,0.344,0.308,0.231,0.185,0.684,0.129,0.617,0.434
Claude(simp+src),,,,,,,0.73,0.177,0.131,0.629,0.417
Claude(simp+src+ref),,,,,,,0.745,0.182,0.11,0.595,0.408
LENS-SALSA,,,,,,,0.683,0.305,0.027,0.45,0.366
SLE,0.719,0.65,0.618,0.365,0.401,0.379,0.027,0.366,0.004,0.074,0.36
SARI,,,,,,,0.298,0.214,0.385,0.358,0.314
BERTScore_P,,,,,,,0.603,0.201,0.084,0.343,0.308
Claude(simp+ref),,,,,,,0.635,0.02,0.059,0.516,0.307
bertscore_f1,,,,,,,0.459,0.257,0.172,0.334,0.305
FKGL,0.594,0.491,0.482,0.295,0.295,0.304,0.067,0.304,0.089,0.043,0.296
rouge2,,,,,,,0.301,0.393,0.202,0.246,0.286
Word_Count,0.701,0.539,0.563,0.136,0.081,0.126,0.002,0.409,0.016,0.152,0.272
bertscore_r,,,,,,,0.347,0.26,0.192,0.278,0.269
D-SARI,,,,,,,0.298,0.237,0.14,0.358,0.259
dsari_keep,,,,,,,0.241,0.154,0.141,0.481,0.254
ROUGE-L,,,,,,,0.242,0.342,0.167,0.255,0.251
BLEU,,,,,,,0.233,0.368,0.207,0.192,0.25
rouge1,,,,,,,0.198,0.345,0.149,0.24,0.233
dsari_delete,,,,,,,0.153,0.359,0.219,0.109,0.21
dsari_add,,,,,,,0.281,0.079,0.121,0.285,0.191
Avg_Word_Len,0.252,0.029,0.166,0.292,0.161,0.235,0.075,0.02,0.189,0.015,0.143
Shuffle,0.045,0.124,0.006,0.03,0.074,0.015,0.043,0.028,0.089,0.036,0.049
Random,0.21,0.002,0.027,0.063,0.046,0.026,0.037,0.022,0.013,0.012,0.046
