,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki,Average
Claude(simp),"0.702 [0.566, 0.801]","0.739 [0.675, 0.792]","0.721 [0.702, 0.740]","0.499 [0.318, 0.644]","0.583 [0.496, 0.659]","0.576 [0.550, 0.601]","0.341 [0.266, 0.412]","0.478 [0.438, 0.517]","0.221 [0.103, 0.333]","0.369 [0.295, 0.438]",0.523
Ours_RF,"0.799 [0.696, 0.870]","0.655 [0.578, 0.721]","0.620 [0.595, 0.643]","0.365 [0.168, 0.533]","0.308 [0.199, 0.409]","0.342 [0.309, 0.374]","0.217 [0.139, 0.293]","0.684 [0.654, 0.712]","0.118 [0.002, 0.234]","0.582 [0.522, 0.636]",0.469
BATS-GB,"0.788 [0.680, 0.862]","0.656 [0.579, 0.722]","0.420 [0.389, 0.451]","0.380 [0.185, 0.546]","0.295 [0.186, 0.397]","0.224 [0.190, 0.258]","0.178 [0.099, 0.255]","0.676 [0.645, 0.704]","0.176 [0.057, 0.290]","0.555 [0.492, 0.611]",0.435
BATS-RF,"0.755 [0.636, 0.839]","0.652 [0.574, 0.718]","0.439 [0.408, 0.469]","0.344 [0.146, 0.515]","0.308 [0.199, 0.409]","0.231 [0.196, 0.265]","0.185 [0.105, 0.261]","0.684 [0.654, 0.712]","0.129 [0.009, 0.245]","0.617 [0.560, 0.668]",0.434
Claude(simp+src),,,,,,,"0.730 [0.685, 0.770]","0.177 [0.129, 0.224]","0.131 [0.012, 0.247]","0.629 [0.574, 0.680]",0.417
Claude(simp+src+ref),,,,,,,"0.745 [0.702, 0.783]","0.182 [0.135, 0.230]","0.110 [0.010, 0.226]","0.595 [0.536, 0.649]",0.408
LENS-SALSA,,,,,,,"0.683 [0.632, 0.727]","0.305 [0.259, 0.349]","0.027 [0.092, 0.146]","0.450 [0.380, 0.514]",0.366
SLE,"0.719 [0.588, 0.813]","0.650 [0.571, 0.716]","0.618 [0.593, 0.641]","0.365 [0.169, 0.534]","0.401 [0.297, 0.495]","0.379 [0.347, 0.411]","0.027 [0.053, 0.107]","0.366 [0.321, 0.408]","0.004 [0.116, 0.123]","0.074 [0.006, 0.153]",0.36
SARI,,,,,,,"0.298 [0.222, 0.371]","0.214 [0.133, 0.293]","0.385 [0.193, 0.549]","0.358 [0.284, 0.428]",0.314
BERTScore_P,,,,,,,"0.603 [0.544, 0.655]","0.201 [0.153, 0.248]","0.084 [0.036, 0.201]","0.343 [0.268, 0.414]",0.308
Claude(simp+ref),,,,,,,"0.635 [0.580, 0.685]","0.020 [0.029, 0.069]","0.059 [0.061, 0.177]","0.516 [0.450, 0.576]",0.307
bertscore_f1,,,,,,,"0.459 [0.390, 0.523]","0.257 [0.210, 0.303]","0.172 [0.053, 0.286]","0.334 [0.259, 0.405]",0.305
FKGL,"0.594 [0.430, 0.719]","0.491 [0.394, 0.577]","0.482 [0.452, 0.510]","0.295 [0.094, 0.473]","0.295 [0.186, 0.397]","0.304 [0.271, 0.337]","0.067 [0.013, 0.146]","0.304 [0.258, 0.348]","0.089 [0.031, 0.206]","0.043 [0.037, 0.123]",0.296
rouge2,,,,,,,"0.301 [0.225, 0.374]","0.393 [0.349, 0.435]","0.202 [0.084, 0.315]","0.246 [0.168, 0.321]",0.286
Word_Count,"0.701 [0.564, 0.800]","0.539 [0.447, 0.620]","0.563 [0.536, 0.589]","0.136 [0.069, 0.331]","0.081 [0.033, 0.193]","0.126 [0.090, 0.161]","0.002 [0.078, 0.082]","0.409 [0.366, 0.451]","0.016 [0.103, 0.135]","0.152 [0.072, 0.229]",0.272
bertscore_r,,,,,,,"0.347 [0.272, 0.418]","0.260 [0.213, 0.306]","0.192 [0.073, 0.305]","0.278 [0.201, 0.351]",0.269
D-SARI,,,,,,,"0.298 [0.222, 0.371]","0.237 [0.190, 0.283]","0.140 [0.021, 0.256]","0.358 [0.284, 0.428]",0.259
